transaction_id,user_id,transaction_amount,transaction_time,location,device,merchant_category,payment_method,is_fraud
TXN004444,USER0970,1051.2,2023-01-01 01:13:00,Bangalore,Mac,Retail,Debit Card,1
TXN037215,USER0783,10087.25,2023-01-01 01:17:00,Bangalore,iOS,Entertainment,Credit Card,1
TXN015067,USER0419,2300.3,2023-01-01 03:06:00,Delhi,Mac,Electronics,UPI,0
TXN023059,USER0396,766.92,2023-01-01 03:29:00,Hyderabad,Mac,Retail,Net Banking,0
TXN007577,USER0239,2163.0,2023-01-01 05:20:00,Bangalore,Windows,Retail,Credit Card,1
TXN039950,USER0923,813.96,2023-01-01 05:44:00,Pune,Mac,Food,Credit Card,0
TXN005088,USER0630,2653.52,2023-01-01 06:43:00,Bangalore,Android,Retail,Debit Card,0
TXN016771,USER0892,1809.71,2023-01-01 07:57:00,Hyderabad,iOS,Electronics,Debit Card,0
TXN018438,USER0965,425.95,2023-01-01 08:00:00,Bangalore,iOS,Electronics,Net Banking,0
TXN013267,USER0466,2710.7,2023-01-01 08:01:00,Kolkata,Mac,Electronics,Debit Card,1
TXN009426,USER0786,4389.93,2023-01-01 08:05:00,Ahmedabad,Mac,Food,Net Banking,0
TXN043090,USER0971,1484.52,2023-01-01 08:07:00,Bangalore,Mac,Food,UPI,0
TXN048187,USER0613,1783.89,2023-01-01 08:10:00,Bangalore,Android,Food,UPI,0
TXN021166,USER0896,1487.8,2023-01-01 08:32:00,Mumbai,iOS,Retail,Debit Card,0
TXN008426,USER0109,467.45,2023-01-01 08:44:00,Ahmedabad,Windows,Electronics,Net Banking,0
TXN044259,USER0886,4693.76,2023-01-01 08:58:00,Pune,Mac,Utilities,UPI,0
TXN029469,USER0817,1451.93,2023-01-01 09:17:00,Hyderabad,Mac,Food,Net Banking,0
TXN041002,USER0683,974.27,2023-01-01 09:19:00,Pune,Windows,Food,Credit Card,0
TXN049770,USER0223,2735.57,2023-01-01 09:22:00,Ahmedabad,iOS,Food,Debit Card,0
